,0
0,0.007362090844772375
1,0.00803614430567284
2,0.006659879399942854
3,0.0016131013277432527
4,-0.0019066110039476607
5,0.006851915098937785
6,0.0019760469256037017
7,-0.007407264774284195
8,-0.00417734673734339
9,0.006751849588868294
10,0.007567062840067845
11,0.00424306276493381
12,-0.0037310720330070565
13,-0.005541916811215491
14,-0.010050398642660007
15,0.00804784096555787
16,0.003891241244041597
17,-0.00683189839295833
18,0.0005242426001679829
19,-0.002915030385993849
20,-0.004397653915272142
21,0.0028129257258123312
22,0.0009254400649505505
23,-0.00026549201822515715
24,-0.004149364200375879
25,-0.0007863700107650627
26,-0.00039750947792788677
27,0.00510281737318376
28,-0.007446060749769147
29,-0.00048616000834392936
30,-0.007488113952132944
31,-0.000496445455430443
32,-0.00946888464627456
33,-0.0028524754820902242
34,0.0036680109491798083
35,0.0011029611472696652
36,0.012869611355104402
37,-0.0011933381148720404
38,-0.007869605095154721
39,0.0019129589247449431
40,-0.00517163239739546
41,0.002783842109329751
42,-0.009533550621347161
43,0.0017398988738870484
44,-0.009977159349656322
45,0.019479625120576455
46,0.00208646610333283
47,-0.008445815679685933
48,-0.008917928361386137
49,-0.008266674025694412
50,-0.003815066803289236
51,0.005697933484446563
52,0.0036735224057635866
53,-0.005044990616099294
54,0.005148001307027255
55,-0.004318427367662325
56,-0.0035179496475851416
57,-0.0005585793839729567
58,0.011541122935884324
59,-0.0027821617454059726
60,0.0018205562620599782
61,-0.007163079287738189
62,0.00011120224194888098
63,-0.0015535524723888482
64,0.00043344112371442994
65,-0.0058256915058449025
66,0.001832660518524952
67,-0.002805648689444797
68,-0.0028019666812246925
69,-0.005918820047176724
70,0.004258137401299123
71,-0.0018087186204776443
72,-0.0028572002374309038
73,0.015204439237896591
74,-0.0015443071938415608
75,0.0035093438549438864
76,0.007552951645450825
77,-0.006436298598813616
78,-0.0026680257075608694
79,0.0014070105696013914
80,-0.002443139727210824
81,0.007275916444765631
82,-0.0020549201288563744
83,-0.00013024049782071976
84,-0.0026071919303278005
85,0.007697641454816885
86,-9.529124280692042e-05
87,0.001758134521880784
88,0.0018252299483242592
89,-0.009918580006484679
90,-0.004866557092992156
91,-0.0026014473039749565
92,-0.002021547474020172
93,-0.0003453984518116838
94,-0.005971615277948262
95,0.0002886112347122524
96,0.008599277066987413
97,-0.002871595990994935
98,-0.003635059743899443
99,0.0008335605792382547
100,-0.00510287193639377
101,-0.003030718169762484
102,0.0018799903212031483
103,-0.005853795042912289
104,0.005876605854179242
105,-0.007733314440556105
106,0.00884503608221133
107,0.009002454968067949
108,0.0009888017204068356
109,0.011040847638151953
110,-0.0006609904799236636
111,0.0022056591238167602
112,-0.005216742309110162
113,-0.006478970518122909
114,-0.00764856021111342
115,-0.005292209236078757
116,-0.006875891138053054
117,-0.0012668234584395847
118,0.006837942313113156
119,-0.005402497377613117
120,0.008128637919875592
121,-0.004738465169748331
122,-0.0005885403823282331
123,-0.005929232807885598
124,0.010737402249718388
125,0.011176292002964246
126,-0.006872707077770813
127,0.001057156502864393
128,-0.006691393171883785
129,0.001983470358804419
130,0.0102477775503903
131,0.0022373981539417363
132,-0.00666575353653841
133,-0.0029038215876444153
134,-0.0032416814456745634
135,-0.0016749100070400915
136,-0.0036940125761032072
137,-0.0003586281815671173
138,0.009045201172762774
139,0.0005803021007758502
140,-0.0017977308457956629
141,-0.0032923570040312416
142,-0.008706956265542277
143,0.002775297436927975
144,0.004905319963052571
145,-0.005087366617650745
146,0.002556418485804798
147,-0.0028956609558102907
148,0.008170025604802284
149,-0.005950290420863683
150,-0.007334730425811691
151,-0.0009517659425859771
152,-0.009135524418871891
153,0.0004234971275341153
154,0.0016508925213239085
155,-0.009588977931862695
156,-0.0035354174572415184
157,-0.00509909045784494
158,-0.008009430643402017
159,-0.0013825233409997817
160,-0.003817333930645973
161,0.003061940210055387
162,-0.0003022362610887329
163,0.0012264465777654231
164,-0.001882943196905409
165,-0.0035135917832055654
166,0.010346272671834284
167,0.00018792766142882632
168,0.005738410657021268
169,-0.011702707865989016
170,0.005654205762204184
171,0.00024367571243277952
172,0.001003298897560865
173,-0.0037863777597057866
174,-0.006208885525188112
175,0.0005727059003716988
176,0.00363646634949369
177,-0.007173719607087968
178,-0.0050856042111075625
179,0.008426056707468425
180,-0.006300375802534737
181,-0.0006024988720578795
182,0.012227220690167441
183,-0.011601036196333566
184,-0.004177953220521333
185,-0.007000566859692955
186,-0.000217339895582952
187,-0.006385598488428405
188,0.0007196777627785042
189,-0.0002567436285361102
190,0.0008296840185383597
191,0.008096459309421577
192,9.889582983886038e-05
193,-0.0031839965038414787
194,-0.0008826047362860798
195,0.022165461600088292
196,0.0028980859589852275
197,-0.0024471403812672712
198,-0.00889724087316876
199,0.0026985442805580683
200,0.002814986938569544
201,0.006749866554859105
202,-0.0018320288706654224
203,0.005051362954284559
204,-0.006176479884715368
205,-0.0015931983667552545
206,0.004564941424254458
207,0.002845549418796039
208,-0.0006088366911843304
209,-0.0037221652032815304
210,-0.006889053750506722
211,-0.0009709970759507411
212,-0.004418363163293998
213,-0.0053859073112719775
214,-0.008147598415841702
215,0.002295776389880528
216,0.0035644673473342737
217,0.006881467764970838
218,-0.007251946244658397
219,0.004398385885659532
220,-0.0065724044895285084
221,0.0011292933025520092
222,-0.0060461335382449724
223,-0.0034509929829226616
